State,Year,Month,Unemployment_Rate,Labor_Force,Employed,Unemployed
Michigan,2013,11,9.9,2334489,2103374,231115
New York,2016,11,6.9,1339911,1247457,92454
Pennsylvania,2012,6,3.0,1866891,1810884,56007
Georgia,2011,12,4.2,1496025,1433191,62834
Georgia,2022,12,2.7,2353882,2290327,63555
Washington,2021,12,6.0,4360029,4098427,261602
New York,2021,7,11.8,2528388,2230038,298350
New York,2016,5,6.8,3516664,3277530,239134
Texas,2019,9,2.7,1925665,1873672,51993
Florida,2021,12,3.7,4550812,4382431,168381
Pennsylvania,2012,1,5.0,1873415,1779744,93671
Florida,2011,6,4.5,371836,355103,16733
Texas,2019,12,11.4,1371741,1215362,156379
Florida,2023,8,7.9,1411736,1300208,111528
Pennsylvania,2014,2,7.6,3594679,3321483,273196
Washington,2018,12,8.3,2713740,2488499,225241
Illinois,2022,1,2.6,3365879,3278366,87513
California,2021,8,2.6,4430634,4315437,115197
New York,2010,8,9.4,2209818,2002095,207723
Ohio,2019,7,8.7,3953339,3609398,343941
Michigan,2018,8,6.8,4645583,4329683,315900
Michigan,2016,8,8.8,3702279,3376478,325801
Georgia,2020,3,7.0,2048260,1904881,143379
New York,2010,5,7.8,997421,919622,77799
Michigan,2020,9,9.3,222409,201724,20685
New York,2016,1,5.5,3356415,3171812,184603
Florida,2023,5,4.9,1073548,1020944,52604
Florida,2022,7,5.3,4674293,4426555,247738
Texas,2019,9,3.5,4127419,3982959,144460
Florida,2023,11,5.6,4370070,4125346,244724
Illinois,2016,1,5.1,2335000,2215915,119085
Florida,2022,9,5.4,2648421,2505406,143015
Pennsylvania,2020,9,7.1,4522880,4201755,321125
New York,2019,12,4.8,1484250,1413006,71244
Georgia,2017,9,6.3,1986013,1860894,125119
California,2019,4,4.8,4359622,4150360,209262
Texas,2012,1,3.9,913168,877554,35614
Texas,2011,12,3.0,369536,358449,11087
California,2012,2,7.5,2322809,2148598,174211
Georgia,2016,4,3.3,2306903,2230775,76128
California,2015,8,7.0,4400385,4092358,308027
Georgia,2015,11,10.3,1504104,1349181,154923
Georgia,2022,3,8.1,4235314,3892253,343061
Washington,2012,3,5.8,2133350,2009615,123735
Florida,2018,1,6.3,843974,790803,53171
Texas,2017,1,8.9,3712600,3382178,330422
Illinois,2011,7,7.6,2126793,1965156,161637
New York,2016,12,4.2,2304664,2207868,96796
Florida,2021,1,4.8,2572189,2448723,123466
Ohio,2014,11,4.3,4992306,4777636,214670
New York,2013,8,6.3,4615488,4324712,290776
Pennsylvania,2013,11,11.4,891971,790286,101685
Georgia,2017,4,8.0,3021944,2780188,241756
New York,2018,2,4.0,2200021,2112020,88001
New York,2022,9,4.2,2235619,2141723,93896
California,2023,5,4.2,228391,218798,9593
Michigan,2012,1,5.4,4401754,4164059,237695
New York,2015,7,4.9,216381,205778,10603
Georgia,2015,3,11.0,1299386,1156453,142933
Texas,2014,1,8.0,1518175,1396721,121454
California,2014,12,9.4,3872962,3508903,364059
California,2010,12,11.4,3551356,3146501,404855
Ohio,2015,3,9.6,2609079,2358607,250472
California,2023,5,7.9,4942611,4552144,390467
Ohio,2016,1,5.5,789944,746497,43447
Washington,2015,10,11.3,545101,483504,61597
Pennsylvania,2011,6,5.9,1205534,1134407,71127
Washington,2011,10,9.5,598863,541971,56892
Michigan,2022,10,10.2,1592785,1430320,162465
Illinois,2017,12,7.4,4142787,3836220,306567
Florida,2010,8,9.2,3840047,3486762,353285
New York,2016,12,8.0,4283839,3941131,342708
Michigan,2015,3,6.9,4579125,4263165,315960
Washington,2019,6,4.9,1538533,1463144,75389
Georgia,2020,12,5.6,2085588,1968795,116793
Ohio,2016,4,10.5,4483711,4012921,470790
Florida,2023,3,8.6,3479569,3180326,299243
Washington,2023,3,10.1,1523286,1369434,153852
Washington,2014,10,11.6,283062,250226,32836
Illinois,2021,5,3.1,903328,875324,28004
Texas,2023,6,9.3,276615,250889,25726
Ohio,2010,7,8.7,641252,585463,55789
Georgia,2022,7,3.0,2264367,2196435,67932
New York,2014,6,2.6,3700333,3604124,96209
Ohio,2010,4,4.2,864121,827827,36294
Washington,2014,7,5.8,1207677,1137631,70046
Ohio,2016,10,8.4,1508836,1382093,126743
Florida,2011,4,6.1,3793305,3561913,231392
New York,2019,1,7.6,1689228,1560846,128382
Florida,2017,7,11.5,149115,131966,17149
Florida,2017,12,6.2,3149851,2954560,195291
California,2010,3,10.3,4135851,3709858,425993
New York,2010,1,8.7,2155723,1968175,187548
Texas,2022,3,8.4,2748790,2517891,230899
California,2019,8,6.2,3453597,3239473,214124
Texas,2012,9,7.2,3022097,2804506,217591
Pennsylvania,2013,9,10.1,3469720,3119278,350442
Florida,2019,5,9.6,933727,844089,89638
New York,2010,3,6.4,4070001,3809520,260481
California,2016,8,10.7,4355780,3889711,466069
California,2016,7,9.7,3431869,3098977,332892
California,2010,4,10.4,3364908,3014957,349951
New York,2010,4,2.6,4760456,4636684,123772
New York,2021,9,5.5,3721581,3516894,204687
Florida,2012,10,8.5,1139458,1042604,96854
Illinois,2013,11,4.5,3888340,3713364,174976
Michigan,2018,7,3.4,1301193,1256952,44241
Washington,2016,10,6.7,4332406,4042134,290272
Texas,2021,9,9.7,4526219,4087175,439044
California,2022,6,3.3,2236233,2162437,73796
Illinois,2011,11,9.2,3765060,3418674,346386
Georgia,2012,8,6.1,1386643,1302057,84586
California,2016,9,8.1,2715075,2495153,219922
Georgia,2021,3,9.9,126790,114237,12553
Washington,2019,3,3.6,1979490,1908228,71262
Texas,2021,10,9.5,1554908,1407191,147717
Illinois,2016,1,9.0,2487312,2263453,223859
Illinois,2017,1,4.6,1525541,1455366,70175
Washington,2021,5,2.9,3601268,3496831,104437
Ohio,2013,3,9.1,958158,870965,87193
Illinois,2010,1,8.5,1517077,1388125,128952
New York,2016,9,11.2,2585195,2295653,289542
Pennsylvania,2021,5,5.1,2767867,2626705,141162
Florida,2019,8,5.9,1444027,1358829,85198
Ohio,2018,4,11.9,3948693,3478798,469895
California,2018,1,6.4,4985211,4666157,319054
New York,2022,6,11.5,4867999,4308179,559820
Ohio,2018,2,3.3,3662737,3541866,120871
Ohio,2016,8,6.1,127712,119921,7791
Texas,2010,11,8.1,235230,216176,19054
Illinois,2015,11,10.5,1981548,1773485,208063
California,2011,9,6.4,100404,93978,6426
Michigan,2015,12,10.2,2432517,2184400,248117
New York,2014,7,9.8,263273,237472,25801
New York,2010,5,6.8,1187341,1106601,80740
California,2012,4,4.7,4995207,4760432,234775
Texas,2021,8,2.7,608153,591732,16421
Texas,2015,6,10.4,4981713,4463614,518099
California,2015,12,7.8,3545498,3268949,276549
Illinois,2010,7,9.7,3061293,2764347,296946
Texas,2020,3,11.1,427359,379922,47437
Texas,2015,2,8.1,650222,597554,52668
New York,2011,4,7.7,2032247,1875763,156484
Michigan,2019,3,9.1,2630179,2390832,239347
Washington,2017,1,7.2,1954971,1814213,140758
Florida,2017,5,11.8,1949396,1719367,230029
Texas,2022,11,8.0,761614,700684,60930
Illinois,2016,7,8.1,766997,704870,62127
Pennsylvania,2013,8,9.1,1405794,1277866,127928
New York,2020,2,8.2,4250276,3901753,348523
Texas,2021,10,4.2,3587124,3436464,150660
Georgia,2010,5,6.9,4346049,4046171,299878
California,2023,10,9.1,1172200,1065529,106671
Washington,2018,9,9.0,2383869,2169320,214549
California,2019,4,10.2,1014032,910600,103432
New York,2022,4,4.5,1017559,971768,45791
Georgia,2023,10,9.7,167661,151397,16264
Pennsylvania,2011,10,2.8,2178007,2117022,60985
New York,2016,3,11.0,3808654,3389702,418952
Texas,2019,6,7.6,1315502,1215523,99979
Illinois,2016,5,4.2,3820464,3660004,160460
Michigan,2015,10,7.6,3512504,3245553,266951
California,2022,4,7.0,567010,527319,39691
Illinois,2022,2,3.3,2223221,2149854,73367
Texas,2017,8,6.6,2793714,2609328,184386
Washington,2018,5,5.9,672735,633043,39692
Texas,2020,8,7.2,1261157,1170353,90804
Ohio,2018,1,2.6,3207092,3123707,83385
Georgia,2015,7,7.1,4481514,4163326,318188
Pennsylvania,2016,9,3.3,4712338,4556830,155508
Pennsylvania,2014,4,12.0,640677,563795,76882
Texas,2013,12,11.2,2959653,2628171,331482
Georgia,2010,8,9.4,2457821,2226785,231036
Illinois,2011,11,7.9,3030098,2790720,239378
Ohio,2015,10,5.6,1337715,1262802,74913
California,2013,1,7.5,954016,882464,71552
Washington,2023,6,8.0,382762,352141,30621
Florida,2022,11,8.1,485925,446565,39360
Texas,2017,10,7.7,503081,464343,38738
Texas,2022,8,10.2,3254240,2922307,331933
Ohio,2018,1,3.6,2290222,2207774,82448
Pennsylvania,2015,7,10.0,4902116,4411904,490212
Texas,2023,5,9.4,3709736,3361020,348716
Texas,2021,3,3.1,3906503,3785401,121102
Georgia,2021,8,10.4,2255748,2021150,234598
New York,2014,5,10.2,4973594,4466287,507307
Washington,2023,4,5.5,1886921,1783140,103781
Illinois,2011,8,6.8,3930375,3663109,267266
New York,2022,6,7.6,3395374,3137325,258049
California,2018,1,11.0,4733078,4212439,520639
Texas,2023,5,11.1,1727781,1535997,191784
New York,2016,3,5.7,2677855,2525217,152638
Florida,2022,1,7.6,3902010,3605457,296553
Florida,2022,6,9.6,1999492,1807540,191952
Michigan,2010,4,7.9,3277993,3019031,258962
Ohio,2020,10,5.7,4157893,3920893,237000
Florida,2022,8,8.2,1539758,1413497,126261
Pennsylvania,2014,4,9.4,2180154,1975219,204935
New York,2012,4,7.7,2792755,2577712,215043
Washington,2017,6,4.7,4688334,4467982,220352
Washington,2023,11,4.0,1355564,1301341,54223
Pennsylvania,2023,2,8.3,2385166,2187197,197969
Pennsylvania,2021,11,11.4,3020803,2676431,344372
Florida,2014,8,2.7,4294430,4178480,115950
Washington,2010,12,6.1,2514472,2361089,153383
Georgia,2012,8,10.5,2376106,2126614,249492
Michigan,2010,5,11.9,4427021,3900205,526816
Florida,2015,7,11.2,3345886,2971146,374740
Georgia,2016,3,8.1,2527540,2322809,204731
Illinois,2014,9,4.5,3022808,2886781,136027
Ohio,2019,9,3.6,1998739,1926784,71955
Illinois,2019,11,11.3,3778086,3351162,426924
Texas,2020,2,11.2,4956447,4401324,555123
New York,2015,8,8.0,4208997,3872277,336720
Ohio,2017,1,5.9,2291422,2156228,135194
Georgia,2019,12,4.5,1395302,1332513,62789
California,2013,9,3.9,2512149,2414175,97974
Georgia,2021,8,7.3,2978604,2761165,217439
Michigan,2012,11,10.1,364223,327436,36787
California,2022,8,8.1,4721056,4338650,382406
New York,2011,2,7.6,2759440,2549722,209718
Texas,2023,6,9.8,1334816,1204004,130812
Pennsylvania,2022,7,11.5,1227199,1086071,141128
Washington,2019,3,8.6,2380827,2176075,204752
California,2016,7,4.0,4946769,4748898,197871
Michigan,2022,8,2.8,2702967,2627283,75684
Michigan,2020,8,3.5,4772750,4605703,167047
Ohio,2012,3,8.7,572327,522534,49793
Texas,2012,8,9.4,1078039,976703,101336
Florida,2013,5,3.8,711213,684186,27027
Michigan,2011,7,8.5,3772214,3451575,320639
Ohio,2012,3,8.0,3626737,3336598,290139
Texas,2010,5,5.7,3916446,3693208,223238
Texas,2012,7,2.8,2575539,2503423,72116
Ohio,2014,6,9.9,2589569,2333201,256368
Ohio,2021,3,11.5,2083851,1844208,239643
Pennsylvania,2010,10,7.9,4361946,4017352,344594
Michigan,2010,2,2.7,4821165,4690993,130172
Illinois,2017,2,8.5,422918,386969,35949
Illinois,2015,6,10.4,216739,194198,22541
Washington,2019,2,5.1,3589866,3406782,183084
Georgia,2011,5,10.2,288456,259033,29423
Georgia,2011,1,6.3,4867348,4560705,306643
Washington,2015,5,5.0,3851198,3658638,192560
Georgia,2020,8,4.9,1326476,1261478,64998
Illinois,2014,7,7.9,1029168,947863,81305
Washington,2014,12,9.8,791757,714164,77593
Texas,2021,6,9.5,3396050,3073425,322625
Ohio,2013,3,4.8,2778932,2645543,133389
Pennsylvania,2020,4,9.3,1159622,1051777,107845
Pennsylvania,2012,6,7.0,4231479,3935275,296204
Georgia,2015,5,7.1,1731993,1609021,122972
Florida,2013,3,8.2,2868362,2633156,235206
California,2023,11,8.2,1214593,1114996,99597
Illinois,2019,2,3.5,4047208,3905555,141653
Pennsylvania,2010,1,7.2,3975754,3689499,286255
Pennsylvania,2019,9,4.8,3290914,3132950,157964
Texas,2014,12,9.1,2937981,2670624,267357
Georgia,2011,12,5.9,3491418,3285424,205994
California,2022,1,11.5,3077590,2723667,353923
California,2021,8,9.7,1291902,1166587,125315
Ohio,2010,7,9.4,2302575,2086132,216443
Georgia,2017,9,11.1,875435,778261,97174
Washington,2018,10,2.9,2234793,2169984,64809
Michigan,2010,7,7.8,2478837,2285487,193350
Washington,2016,5,9.4,2539855,2301108,238747
Pennsylvania,2011,11,11.5,4068222,3600376,467846
Florida,2016,3,5.5,3495049,3302821,192228
Michigan,2010,8,4.7,2647500,2523067,124433
Texas,2012,5,7.5,776022,717820,58202
Michigan,2021,7,5.5,1941648,1834857,106791
Florida,2022,6,5.5,3928433,3712369,216064
California,2022,10,10.8,4237270,3779644,457626
New York,2019,2,2.7,4177151,4064367,112784
New York,2020,7,2.6,2903696,2828199,75497
Ohio,2021,9,8.0,970123,892513,77610
Illinois,2019,9,5.7,4544499,4285462,259037
Ohio,2010,1,3.5,4852525,4682686,169839
Pennsylvania,2023,2,5.3,4728120,4477529,250591
California,2014,9,3.5,4417048,4262451,154597
Pennsylvania,2013,12,11.6,4885956,4319185,566771
Ohio,2020,12,6.5,1010775,945074,65701
Pennsylvania,2020,2,4.1,4112595,3943978,168617
Florida,2020,8,11.5,531413,470300,61113
Ohio,2012,10,2.9,3928464,3814538,113926
Washington,2012,8,5.8,3843797,3620856,222941
Michigan,2010,9,11.3,3395097,3011451,383646
California,2022,11,6.3,1929553,1807991,121562
Texas,2023,1,4.0,2205058,2116855,88203
